Acquisition_1,Acquisition_2,Acquisition_3,Acquisition_4,Acquisition_5,Acquisition_6,Acquisition_7,Acquisition_8,Acquisition_9,Acquisition_10,Acquisition_11,Acquisition_12,Acquisition_13,Acquisition_14,Acquisition_15,Acquisition_16,Acquisition_17,Acquisition_18,Acquisition_19,Acquisition_20,Acquisition_21,Acquisition_22,Acquisition_23,Acquisition_24,Acquisition_25
919175803510.18,860983078216.26,749039754648.94,633215067191.62,697458742240.62,874162904044.26,905027354945.24,797560570217.97,686375283116.93,621328880556.48,650889566756.81,709438623253.89,822149513474.53,907737253539.99,844808041536.64,745010603615.44,619795127114.14,654374991101.09,820283129365.12,846288195103.70,682548481375.76,621435119755.37,787273979884.92,619315755054.80,857238176574.93
918733062461.06,860835601589.36,748792576054.16,633065982025.65,697385462500.62,874124803640.79,904801842436.73,797371113758.04,686043927658.45,620998321345.60,650556074817.98,708963156306.63,821926829672.42,906610905792.87,843883386741.96,743905091847.66,618871545066.31,653283364809.60,819153412651.69,845559401231.46,682453721449.20,621072656900.87,786657777150.28,618132034820.59,856055567554.55
918272886782.79,860678088367.88,748575970913.40,632879672416.39,697312222260.04,874116890913.23,904576272736.79,797220579872.11,685751717115.76,620707022804.10,650184578075.74,708449714490.05,821730389090.71,905445696919.08,842923040487.55,742766095850.43,617913927745.41,652155162957.54,817988827696.43,844814216078.82,682337673810.80,620732913082.70,786019239026.62,616917024293.85,854835366514.36
917834665251.72,860510612689.20,748389954732.10,632685374121.23,697239021559.92,874072130748.17,904358572555.13,797108972709.09,685498650504.33,620391493243.69,649824031614.62,707936312335.24,821509996635.40,904241633275.62,841927047785.30,741593687422.85,616923969235.67,650990418641.14,816789424566.38,844052655112.70,682200309811.77,620415944707.01,785358321390.95,615670807488.70,853577578127.43
917379274107.07,860315800092.16,748234545418.45,632499244659.93,697165860442.13,873990532478.57,904111483857.72,797012161354.62,685284726890.66,620051812822.19,649425491314.05,707422950088.65,821304491620.78,902998721293.02,840895454842.92,740387940527.92,615900014705.64,649856083577.81,815555254880.03,843274738388.16,682041605597.60,620121813270.29,784674983975.38,614393471852.87,852282207582.21
916906853596.05,860083366974.11,748042558289.45,632321304314.32,697092738949.26,873872106105.98,903835022009.27,796891278852.35,685087169008.52,619688066466.67,648988948600.44,706909627994.99,821075276244.65,901716967473.83,839828309090.63,739148931342.55,614842128575.99,648685296822.72,814286371844.97,842480490573.21,681861542105.16,619805498824.26,783969190372.49,613085108348.60,850949260590.93
916417548359.56,859813334224.24,747856698858.15,632151580427.68,697045888675.89,873716862318.01,903529204653.41,796746357101.30,684866877280.32,619300343919.94,648514395288.46,706358323423.82,820822468970.81,900396378390.70,838725659208.69,737876738309.35,613750377594.50,647478095790.72,812982830297.33,841669940974.99,681660105062.08,619512063986.75,783286039019.71,611742135567.03,849578743398.45
915911507471.88,859581598505.83,747676939099.95,631944650225.30,696999085230.03,873524812504.36,903194051722.52,796586728218.50,684623852493.73,618937935071.02,648001823576.82,705817561840.57,820546192003.17,899052289871.46,837587555155.99,736571442190.62,612624830894.64,646234519147.39,811644686743.10,840843123567.53,681437284988.34,619241575396.76,782625567691.80,610364496178.67,848199445796.23
915425727601.12,859322429441.23,747503257029.99,631767052773.67,696978569785.61,873295968757.01,902896190031.78,796403078629.21,684358099882.47,618561933290.50,647451226044.65,705287364679.75,820246571325.33,897669341042.05,836414048199.47,735233126124.20,611465560056.69,644954606841.71,810271999401.42,840000077020.91,681193077200.25,618994104754.63,781987818208.71,608952134031.71,846811395399.66
914923316865.53,859091367750.66,747360178108.79,631552222731.54,696984358605.53,873067152661.38,902635630588.27,796204692442.74,684069629138.27,618172238430.54,646862595648.35,704767759570.27,819923736741.84,896247537914.37,835246568569.32,733861875681.65,610272639171.41,643705373326.36,808864828250.11,839140844731.99,680927481816.58,618769728805.68,781372836439.90,607504994133.21,845414625255.81
914404429393.65,858870755147.79,747247714958.94,631300152018.97,697016471652.29,872838364257.53,902412384928.74,795982303855.38,683758454426.90,617768756664.61,646301265581.30,704258780354.97,819577821920.66,894786886542.97,834043675965.08,732457778928.50,609046144906.39,642493729281.56,807423235073.33,838265474856.59,680640503767.07,618568529320.84,780780672307.06,606023022630.95,844009173892.90
913869223846.77,858622608495.41,747165882606.17,631077374397.71,697074932580.48,872609603487.33,902189162763.46,795760003706.82,683424594409.87,617351400487.35,645767219548.77,703760467108.87,819208964437.19,893287393019.98,832805422134.02,731020926486.85,607786156575.24,641245847395.04,805979789250.59,837374020343.33,680332152803.22,618390593074.33,780211379785.06,604506166795.87,842574959447.55
913317863462.02,858336820766.33,747078081580.50,630846530038.25,697171909567.68,872374359423.96,901965964138.51,795537792157.81,683090815514.19,616909975449.01,645206040968.82,703272866156.13,818827823086.03,891749063469.15,831531860196.98,729551411600.36,606492756209.59,639961771559.54,804534635957.01,836466538968.90,680002443511.34,618236011818.32,779681456223.16,602954375005.32,841178293769.13
912750516096.73,858023445376.99,746953733934.87,630607607520.39,697268981998.33,872145665415.68,901742789102.09,795315669372.58,682773482472.60,616469002898.79,644672136582.25,702796030085.70,818473045860.29,890171904039.05,830223044680.87,728049330201.63,605166028634.08,638671700605.93,803087927225.45,835543093374.98,679651395328.05,618104882254.62,779190896061.51,601367596726.80,839810496125.18
912167354273.86,857672421410.76,746792852753.73,630360602404.52,697404560965.79,871923485315.49,901519637704.82,795069613467.20,682456249791.01,616004059749.54,644176436573.65,702330017765.66,818158747231.54,888555920895.23,828879031552.23,726515103278.46,603806061544.55,637345582665.56,801639822017.47,834603751106.73,679279032557.98,617997306003.29,778739693671.61,599745782502.47,838471596630.00
911568555228.65,857283767673.09,746595451973.53,630105517245.47,697540230798.43,871664525868.97,901259191825.08,794862590730.41,682139117627.26,615515224482.43,643718945404.60,701874894356.14,817821602154.13,886940077253.97,827499878251.99,725016408104.67,602412945589.33,635983467854.73,800190486295.78,833680875873.13,678885384393.88,617913389568.36,778327843359.57,598088883934.27,837161628156.80
910954300956.35,856857503457.10,746404107078.24,629842361607.71,697688091090.85,871368798466.13,900990687837.81,794694607885.53,681861189666.12,615002580523.16,643299667980.38,701392666610.90,817500585036.93,885324370950.73,826085643731.32,723485325565.08,600986774454.02,634585407845.94,798740093098.13,832774401455.61,678470484939.12,617853244300.41,777955339369.45,596396853669.70,835880626346.55
910324778261.09,856393648553.26,746206878942.87,629571152082.01,697848115731.90,871036315176.34,900714094581.31,794565671709.63,681544260350.46,614466216294.79,642918609648.27,700921463043.09,817195866233.86,883708799687.17,824636388488.74,721922097987.77,599527644949.69,633151455913.64,797288822612.72,831884265945.63,678034373232.56,617816986356.21,777622175886.66,594669645388.22,834628629615.08
909680178805.77,855967959008.36,746003807850.77,629291912303.58,698020284581.40,870734190283.39,900429385759.53,794475789029.72,681188326681.67,613969396764.65,642510463795.24,700461366231.57,816907620991.84,882093361024.29,823219706695.20,720326644702.30,598035657104.72,631681666981.84,795836862255.47,831010411780.95,677577093275.72,617804736655.25,777328347041.33,592907213788.34,833405679158.68
909038489226.93,855532659983.77,745831521968.60,628975453794.68,698218817642.11,870462449233.78,900136539945.21,794371064854.06,680793385531.13,613434392596.45,642075251840.83,700012465101.45,816636029419.16,880478052375.11,821835692599.94,718698886437.57,596546062431.04,630176097673.96,794384406748.98,830152785780.71,677098694062.52,617770617191.07,777073846911.89,591109514575.36,832211818957.98
908381989488.84,855135549726.45,745690053042.38,628621786826.52,698443729651.83,870197181912.11,899835540583.77,794290387358.82,680359433617.65,612900067238.03,641612999049.65,699574854931.86,816342403103.72,878862870997.02,820457578555.78,717038745301.35,595023626109.33,628634806364.77,792901191412.49,829311339179.37,676599229611.30,617714506740.04,776858669528.45,589276504449.71,831047095780.26
907710881601.05,854776608561.86,745512179931.65,628230922384.56,698668706052.93,869931949130.61,899571808056.26,794224786911.64,679886467623.04,612366421769.56,641123734554.64,699148637362.14,816026902450.78,877262867093.92,819085228293.17,715346144760.31,593468451013.13,627057853234.62,791417687677.36,828486027659.38,676078758999.38,617636289174.40,776682808876.43,587480078762.84,829874100878.04
